"","ID","name","prefix","r","g","b","alp","First.Year","Last.Year","hex","rgb","h","s","v"
"97",27,"Lime","rgba","187","233","11","1",1997,2023,"#BBE90B","187,233,11",0.201201201201201,0.952789699570815,0.913725490196078
"98",158,"Yellowish Green","rgba","223","238","165","1",2012,2023,"#DFEEA5","223,238,165",0.200913242009132,0.30672268907563,0.933333333333333
"99",120,"Light Lime","rgba","217","228","167","1",1998,2008,"#D9E4A7","217,228,167",0.19672131147541,0.267543859649123,0.894117647058824
"100",35,"Trans-Bright Green","rgba","217","228","167","1",2010,2023,"#D9E4A7","217,228,167",0.19672131147541,0.267543859649123,0.894117647058824
"101",115,"Medium Lime","rgba","199","210","60","1",1998,2005,"#C7D23C","199,210,60",0.178888888888889,0.714285714285714,0.823529411764706
"102",21,"Glow In Dark Opaque","rgba","212","213","201","1",1990,2011,"#D4D5C9","212,213,201",0.180555555555555,0.0563380281690141,0.835294117647059
"103",326,"Olive Green","rgba","155","154","90","1",2012,2023,"#9B9A5A","155,154,90",0.164102564102564,0.419354838709677,0.607843137254902
"104",42,"Trans-Neon Green","rgba","248","241","132","1",1988,2022,"#F8F184","248,241,132",0.156609195402299,0.467741935483871,0.972549019607843
"105",1062,"Vibrant Yellow","rgba","235","216","0","1",2022,2023,"#EBD800","235,216,0",0.153191489361702,1,0.92156862745098
"106",226,"Bright Light Yellow","rgba","255","240","58","1",2004,2023,"#FFF03A","255,240,58",0.153976311336717,0.772549019607843,1
"107",334,"Chrome Gold","rgba","187","165","61","1",1989,2023,"#BBA53D","187,165,61",0.137566137566138,0.67379679144385,0.733333333333333
"108",1005,"Trans-Fire Yellow","rgba","251","232","144","1",2001,2006,"#FBE890","251,232,144",0.137071651090343,0.426294820717131,0.984313725490196
"109",54,"Trans-Neon Yellow","rgba","218","176","0","1",2001,2006,"#DAB000","218,176,0",0.134556574923547,1,0.854901960784314
"110",46,"Trans-Yellow","rgba","245","205","47","1",1969,2023,"#F5CD2F","245,205,47",0.132996632996633,0.808163265306122,0.96078431372549
"111",14,"Yellow","rgba","242","205","55","1",1949,2023,"#F2CD37","242,205,55",0.133689839572193,0.772727272727273,0.949019607843137
"112",18,"Light Yellow","rgba","251","230","150","1",1993,2006,"#FBE696","251,230,150",0.132013201320132,0.402390438247012,0.984313725490196
"113",82,"Metallic Gold","rgba","219","172","52","1",1997,2023,"#DBAC34","219,172,52",0.119760479041916,0.762557077625571,0.858823529411765
"114",191,"Bright Light Orange","rgba","248","187","61","1",2003,2023,"#F8BB3D","248,187,61",0.112299465240642,0.754032258064516,0.972549019607843
"115",19,"Tan","rgba","228","205","158","1",1958,2023,"#E4CD9E","228,205,158",0.111904761904762,0.307017543859649,0.894117647058824
"116",28,"Dark Tan","rgba","149","138","115","1",1961,2023,"#958A73","149,138,115",0.112745098039216,0.228187919463087,0.584313725490196
"117",297,"Pearl Gold","rgba","170","127","46","1",2002,2023,"#AA7F2E","170,127,46",0.108870967741935,0.729411764705882,0.666666666666667
"118",142,"Pearl Light Gold","rgba","220","188","129","1",2000,2006,"#DCBC81","220,188,129",0.108058608058608,0.413636363636364,0.862745098039216
"119",462,"Medium Orange","rgba","255","167","11","1",1996,2019,"#FFA70B","255,167,11",0.10655737704918,0.956862745098039,1
"120",308,"Dark Brown","rgba","53","33","0","1",2008,2023,"#352100","53,33,0",0.10377358490566,1,0.207843137254902
"121",1066,"Curry","rgba","221","152","46","1",2004,2005,"#DD982E","221,152,46",0.100952380952381,0.791855203619909,0.866666666666667
"122",1063,"Metallic Copper","rgba","180","106","0","1",2017,2021,"#B46A00","180,106,0",0.0981481481481482,1,0.705882352941177
"123",366,"Earth Orange","rgba","250","156","28","1",1982,2006,"#FA9C1C","250,156,28",0.0960960960960961,0.888,0.980392156862745
"124",125,"Light Orange","rgba","249","186","97","1",1998,2005,"#F9BA61","249,186,97",0.0975877192982456,0.610441767068273,0.976470588235294
"125",1065,"Reddish Gold","rgba","172","130","71","1",2003,2005,"#AC8247","172,130,71",0.0973597359735973,0.587209302325581,0.674509803921569
"126",68,"Very Light Orange","rgba","243","207","155","1",2000,2004,"#F3CF9B","243,207,155",0.0984848484848485,0.362139917695473,0.952941176470588
"127",60,"Chrome Antique Brass","rgba","100","90","76","1",2001,2005,"#645A4C","100,90,76",0.0972222222222223,0.24,0.392156862745098
"128",182,"Trans-Orange","rgba","240","143","28","1",2002,2023,"#F08F1C","240,143,28",0.0904088050314465,0.883333333333333,0.941176470588235
"129",1089,"Warm Tan","rgba","204","163","115","1",2021,2023,"#CCA373","204,163,115",0.0898876404494382,0.436274509803922,0.8
"130",78,"Light Nougat","rgba","246","215","179","1",1997,2023,"#F6D7B3","246,215,179",0.0895522388059702,0.272357723577236,0.964705882352941
"131",1004,"Trans-Flame Yellowish Orange","rgba","252","183","109","1",2003,2006,"#FCB76D","252,183,109",0.0862470862470863,0.567460317460317,0.988235294117647
"132",484,"Dark Orange","rgba","169","85","0","1",1994,2023,"#A95500","169,85,0",0.0838264299802761,1,0.662745098039216
"133",25,"Orange","rgba","254","138","24","1",1997,2023,"#FE8A18","254,138,24",0.0826086956521739,0.905511811023622,0.996078431372549
"134",178,"Flat Dark Gold","rgba","180","132","85","1",2002,2007,"#B48455","180,132,85",0.0824561403508772,0.527777777777778,0.705882352941177
"135",57,"Trans-Neon Orange","rgba","255","128","13","1",1993,2022,"#FF800D","255,128,13",0.0792011019283747,0.949019607843137,1
"136",1064,"Fabuland Red","rgba","255","128","20","1",1979,1994,"#FF8014","255,128,20",0.076595744680851,0.92156862745098,1
"137",84,"Medium Nougat","rgba","170","125","85","1",2000,2023,"#AA7D55","170,125,85",0.0784313725490196,0.5,0.666666666666667
